Milliseconds,Illuminance
163501,583.0
163605,583.0
163701,583.0
163805,583.0
163904,583.0
164001,583.0
164102,583.0
164202,583.0
164302,582.0
164402,582.0
164505,582.0
164602,582.0
164702,582.0
164801,582.0
164904,582.0
165001,585.0
165103,585.0
165202,582.0
165301,582.0
165401,582.0
165501,582.0
165605,580.0
165701,583.0
165806,583.0
165901,580.0
166001,580.0
166101,580.0
166202,580.0
166301,580.0
166401,580.0
166501,580.0
166602,580.0
166701,580.0
166802,580.0
166901,580.0
167002,580.0
167102,580.0
167204,582.0
167301,582.0
167401,580.0
167502,580.0
167601,580.0
167701,580.0
167802,580.0
167902,580.0
168001,580.0
168101,580.0
168202,580.0
168302,580.0
168401,580.0
168502,580.0
168601,580.0
168701,580.0
168801,580.0
168903,580.0
169001,580.0
169101,580.0
169201,580.0
169302,580.0
169401,580.0
169501,580.0
169608,580.0
169701,580.0
169801,580.0
169904,580.0
170006,580.0
170101,578.0
170201,580.0
170301,580.0
170402,581.0
170501,581.0
170601,579.0
170707,579.0
170801,579.0
170901,579.0
171002,578.0
171101,579.0
171202,579.0
171303,578.0
171401,578.0
171502,578.0
171603,578.0
171705,578.0
171801,578.0
171904,580.0
172001,578.0
172102,578.0
172201,578.0
172310,578.0
172401,578.0
172501,578.0
172601,578.0
172701,578.0
172802,578.0
172902,578.0
173001,578.0
173101,576.0
173201,576.0
173301,578.0
173402,578.0
173501,579.0
173601,579.0
173701,579.0
173806,579.0
173902,579.0
174002,576.0
174101,576.0
174201,576.0
174301,576.0
174401,576.0
174501,576.0
174602,576.0
174701,576.0
174801,576.0
174902,578.0
175002,578.0
175101,576.0
175201,576.0
175301,579.0
175402,579.0
175501,576.0
175601,579.0
175701,579.0
175803,578.0
175902,578.0
176002,579.0
176101,579.0
176202,579.0
176301,579.0
176401,579.0
176502,579.0
176601,579.0
176701,576.0
176804,576.0
176902,579.0
177001,579.0
177102,579.0
177201,579.0
177305,576.0
177401,576.0
177502,576.0
177601,579.0
177701,579.0
177804,576.0
177901,576.0
178001,576.0
178110,576.0
178201,576.0
178301,576.0
178401,576.0
178502,576.0
178601,576.0
178703,574.0
178801,574.0
178903,574.0
179001,574.0
179101,576.0
179201,576.0
179301,576.0
179402,574.0
179501,574.0
179601,576.0
179701,576.0
179801,576.0
179901,576.0
180001,576.0
180102,576.0
180201,576.0
180303,576.0
180401,576.0
180501,576.0
180601,576.0
180701,574.0
180805,574.0
180904,576.0
181001,574.0
181102,574.0
181201,574.0
181301,574.0
181401,576.0
181502,576.0
181601,575.0
181701,575.0
181801,576.0
181902,576.0
182001,575.0
182102,574.0
182201,574.0
182301,574.0
